HORSE,SIRE,DAM,DAMSIRE,LOC,TRAINER,OWNER,BREEDER
Hollywood Strike,Smart Strike,Hollywood Story,Wild Rush,KY,John Shirreffs,George Krikorian,George Krikorian
Hot Item,Tapit,Mamselle Nanette,Southern Halo,KY,Bob Baffert,"West, Gary and Mary",Gary & Mary West Stables Inc
Huntin'theholidays,Jump Start,Holiday Chills,Harlan's Holiday,PA,Gerald Brooks,"Levengood, Alexander R. and Clark, Ronald",Horse Shoe Valley Equine
I Will Score,Roman Ruler,Grassy Nellie,Belong to Me,KY,Jerry Hollendorfer,Hans Poetsch,Hans Poetsch
I. M. Mighty,Saintly Prospect,Pretty Wild Magic,Pretty Wild,PA,T. Houghton,Lori Lange,Lori Lange
I'malreadythere,Crown of Thorns,Wildfire Ruby,Wild Event,FL,Jerry Hollendorfer,"Melen, Steve, Robertson, Richard A., Taub, Steve and Hollendorfer, Jerry",Thomas J. Lane DVM
Ifyousnoozeyoulose,Wilburn,Imastorming,Hennessy,KY,Michael Maker,"Ramsey, Kenneth L. and Sarah K.",Bluegrass Farms Partners Inc
Ima Monster,Delaware Township,Lucy Quatorze,Louis Quatorze,PA,Adam Phillips,Solange Chadda,Maui Meadow Farm
In Equality,Quality Road,Inish Glora,Regal Classic,KY,Leah Gyarmati,Treadway Racing Stable,Robert J. Costigan
Inside Straight,Super Saver,Dance Alexa,Southern Halo,NY,Todd Pletcher,WinStar Farm LLC,SF Bloodstock
Irish,Paddy O'Prado,Class Choice,Peaks and Valleys,KY,Craig Dollase,West Point Thoroughbreds,Nursery Place & Robert Manfuso
Is Trevor Clever,Tale of the Cat,Long N Lanky,Cozzene,KY,Peter Miller,Richard C. Pell,Hickory Tree Farm LLC
Isofass,Rodman,Lucky Mama,El Corredor,FL,Francis Abbott III,DB DOJO LLC,Woodford Thoroughbreds
Isotherm,Lonhro (AUS),Game for More,More Than Ready,KY,George Weaver,Matthew Schera,H. Allen Poindexter
It's The Ice (GB),Sakhee's Secret (GB),Vodka Shot,Holy Bull,GB,Philip D'Amato,Little Red Feather Racing,Mr. & Mrs. R. Newman
Its All Relevant,Hard Spun,Ender's Sister,A.P. Indy,KY,Dominick Schettino,MeB Racing Stables LLC and Brooklyn Boyz Stables,Green Lantern Stables LLC
Japhir,Giant's Causeway,Twisted Sis,A.P. Indy,KY,William Mott,"Zayat Stables, LLC",George Bolton & Charles Bolton
Jay's Way,Gone Astray,Charms Way,Salt Lake,FL,Jamie Ness,"Midwest Thoroughbreds, Inc.",Jim Davis
Jazzy Times,Discreetly Mine,Jazzy Melissa,Grand Slam,KY,Bob Baffert,"Zayat Stables, LLC",RDurham Racing LLC
Jess I Am,Eskendereya,Souma,Mr. Greeley,KY,"John Terranova, II","Zayat Stables, LLC",Zayat Stables LLC
John Q. Public,Proud Citizen,Tender Storm,Honour and Glory,KY,Ian Wilkes,"Holy Cow Stable, LLC",William H. Tite III
Journey by Sea,J P's Gusto,Settling Seas,Stormy Atlantic,FL,Bob Baffert,"Dickman Legacy Ranch, LLC",Brent Fernung & Crystal Fernung
Judaman,Macho Uno,All the Colors,Red Ransom,KY,D. Wayne Lukas,"Zayat Stables, LLC",John Pearman
Justin Squared,Zensational,Graciously Soft,Vindication,KY,Bob Baffert,"Zayat Stables, LLC",Sun Valley Farm
Kasseopia (GB),Showcasing (GB),Dream Again (GB),Medicean (GB),GB,H. Graham Motion,"Team Valor International and Barber, Gary",Cheveley Park Stud LTD
