Horse,Color / Sex / Age,Trainer,Owner
OSKAR BLUES,ch.c.3,Kenneth G. McPeek,Fern Circle Stables 
PADDOCK PICK,b.r.3,Brian J. Koriner,Jay Em Ess Stable 
PAINT ME LUCKY,dk b/.c.3,Bob Baffert,James and Dianne Bashor
PALI HIGH,b.c.3,Leonard Powell,Gary Broad Leon
PEACE,gr/ro.c.3,Richard E. Mandella,"Spendthrift Farm LLC and Town and Country Racing, LLC "
PEACE OF EKATI,ch.c.3,Michael W. Dickinson,Charles E. Fipke 
PEPE TONO,dk b/.c.3,Victor L. Garcia,Juan J. Garcia 
PEPPERED,b.c.3,Reade Baker,Paul Braverman and Timothy Pinch 
PERFECT SEEKER,b.c.3,Dallas Stewart,Charles E. Fipke 
PERSONAL TIME,b.c.3,"Claude R. McGaughey, III","Stuart S. Janney, III and Phipps Stable "
PHOENIX FIRE,gr/ro.r.3,Bob Baffert,"Stonestreet Stables LLC, Abdullah Saeed Almaddah, Mrs. John Magnier, Michael B. Tabor and Derrick Smith"
PITINO,b.c.3,Doug O'Neill,Zedan Racing Stables 
PIVEN,b.c.3,Kevin Attard,Derek Chin K
POINT TO REMEMBER,ch.c.3,James A. Jerkens,Stronach Stable 
PONY UP,ch.c.3,Todd A. Pletcher,Calumet Farm 
PRINCIPE GUILHERME,b.c.3,Steven M. Asmussen,Three Chimneys Farm 
PRIVATE EYE,dk b/.g.3,Paul J. McGee,Jay Em Ess Stable 
PROLIFIC,dk b/.c.3,Michael Stidham,"Godolphin Racing, LLC "
PROMISES FULFILLED,ch.c.3,Dale L. Romans,Robert J. Baron Dale
PROVEN RESERVES,b.c.3,Chad C. Brown,"Klaravich Stables, Inc. Cha"
QUIP,b.c.3,Rodolphe Brisset,"WinStar Farm, LLC , China Horse Club International, Ltd. and SF Racing, LLC "
RACING RAVEN,dk b/.c.3,Todd A. Pletcher,Repole Stable 
RAHFEE TOWN,ch.c.3,Barclay Tagg,Charles E. Fipke 
READYFORPERFECTION,b.c.3,Dallas Stewart,Charles E. Fipke 
REAL FACTOR,b.c.3,Cathal A. Lynch,"M M G Stables, LLC "
REDOUTE'S LIGHT,b.c.3,Roger L. Attfield,Charles E. Fipke 
